NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
財團法人天主教失智老人社會福利基金會附設台北市私立聖若瑟失智老人養護中心,收容安置、日間照顧、權益倡導、志願服務、專業訓練,老人、身心障礙,http://www.cfad.org.tw,s8910009@ms61.hinet.net,23046602,台北市,王宜雯
財團法人天主教康泰醫療教育基金會,專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、照顧者支持與訓練、其他,疾病患者、組織專業、家庭、老人、婦女、青少年、兒童,http://www.kungtai.org.tw/,health@kungtai.org.tw,02-23657780分機12,台北市,那姍姍
財團法人天主教曉明社會福利基金會,日間照顧、專業訓練、性別及婚姻輔導、到宅服務、諮詢服務,社區居民、組織專業、老人、婦女、身心障礙,http://www.lkk.org.tw,tiffany.myday@msa.hinet.net,04-22974225分機112,台中市,王婉如
財團法人天主教會台中教區原住民總鐸區,社會教育、推廣教育、收容安置、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、安親課輔、康樂休閒、資訊提供、宣導防治、緊急生活重建、關懷訪視,疾病患者、勞工、社區居民、原住民、家庭、老人、婦女、青少年、兒童,,Lovi.sari@msa.hinet.net,049-2741163,台中市,田振明
財團法人天主教會台中教區附設南投縣私立復活啟智中心,職業訓練、日間照顧、臨時及短期照顧-身障者、休閒/體育及文化活動、職前準備及訓練,身心障礙,,littlelushih@hotmail.com,04-92927717,南投縣,施&#32137;華
財團法人天主教會台中教區附設南投縣私立玫瑰啟能訓練中心,日間照顧、臨時及短期照顧-身障者、諮詢服務、其他,身心障礙,http://www.holyrosary.org.tw,rose_632411@hotmail.com,04-92632411,南投縣,陳美君
財團法人天主教會台中教區附設台中市私立慈愛智能發展中心,日間照顧、臨時及短期照顧-身障者、諮詢服務、社會宣導、住宿服務,身心障礙,http://www.catholic.org.tw/tszai213/,tsz.ai213@msa.hinet.net,04-22962127,台中市,陳宏仁
財團法人天主教會台中教區附設彰化縣私立聖家啟智中心,日間照顧、臨時及短期照顧-身障者、到宅服務、諮詢服務,兒童、身心障礙,http://santa.casa@msa.hinet.net,santa.casa@msa.hinet.net,04-8374936,彰化縣,黃祉瑜
財團法人天主教會台中教區附設彰化縣私立聖智啟智中心,日間照顧、臨時及短期照顧-身障者、到宅服務,兒童、身心障礙,,shenq.jyh@msa.hinet.net,04-8893730,彰化縣,李佳霖
財團法人天主教會台中教區附設彰化縣私立聖母聖心啟智中心,社會教育、推廣教育、日間照顧、在宅服務、居家照顧、早期療育、托育服務、安親課輔、親職教育、資訊提供、關懷訪視,社區居民、家庭、兒童、身心障礙,http://www.catholic.org.tw/heart,heart.l772085@msa.hinet.net,04-7712743,彰化縣,林家儂
財團法人天主教會台中教區附設臺灣省私立慈愛殘障教養院,日間照顧、臨時及短期照顧-身障者、到宅服務、就業服務、住宿服務,身心障礙,http://www.tszai.org.tw,tszai@ms38.hinet.net,04-7124891分機6103,彰化縣,蘇宜平
財團法人天主教會台北教區,社會教育、推廣教育、志願服務、問安服務、資訊提供、其他,社區居民、組織專業、家庭、老人,http://www.elders.org.tw,socialcch@yahoo.com.tw,(02)2219-3391 分機67151或66207,新北市,周苡榛
財團法人天主教會台北教區附設活泉身心靈整合中心,社會教育、推廣教育、社區發展、輔導諮商、自殺防治、專業訓練、親職教育、資訊提供、宣導防治、健康維護,社區居民、組織專業、家庭、婦女、青少年、兒童,http://fountain.netartisan.org,hwo.chyuan@msa.hinet.net,02-23821885,台北市,邱加利
財團法人天主教會嘉義教區附設嘉義縣私立聖心教養院,社區居住/照顧、志工培訓、管理、住宿服務,身心障礙,http://sacheart.sino1.com.tw/,sacheart@ms51.hinet.net,05-3795465分機124,嘉義縣,王仁杏
財團法人天主教會花蓮教區,就業輔導、社會教育、推廣教育、在宅服務、居家照顧、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、緊急庇護、安親課輔、親職教育、資訊提供、法律諮詢、宣導防治、關懷訪視、其他,其他、社區居民、原住民、家庭、老人、婦女、青少年、兒童,http://www.catholic.org.tw/hualien/,fuliwomen@yahoo.com.tw,03-8830622,花蓮縣,于君玉
財團法人天主教會花蓮教區-成功鎮原住民家庭暨服務中心,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導,身心障礙,,l83101855@yahoo.com.tw,08-9852190,台東縣,李秀美
財團法人天主教會花蓮教區富里鄉原住民家庭暨婦女服務中心,心理層面之支持、重建、諮商、臨時托育服務-非身障者、到宅服務、志工培訓、管理、性別及婚姻支持服務,其他、疾病患者、勞工、社區居民、原住民、組織專業、家庭、老人、婦女、青少年、兒童、身心障礙,http://tw.myblog.yahoo.com/jw!9YbS9I.UBRueT3eUDgjYiXwR,fulicenter@yahoo.com.tw,03-8830487,花蓮縣,李秀霞
財團法人天主教會花蓮教區秀林鄉原住民家庭暨婦女服務中心,就業輔導、社會教育、推廣教育、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、早期療育、志願服務、專業訓練、托育服務、安親課輔、親職教育、問安服務、康樂休閒、資訊提供、法律諮詢、宣導防治、緊急生活重建、關懷訪視、健康維護、其他,疾病患者、社區居民、原住民、家庭、老人、婦女、青少年、兒童、身心障礙,http://www.catholic.org.tw/hualien,ching_chung3816@yahoo.com.tw；huacuria@ms6.hinet.net,03-8611285,花蓮縣,朱慶忠， 林少梅
財團法人天主教會花蓮教區附設救星教養院,日間照顧、復康復健、到宅服務、住宿服務、照顧者支持與訓練,身心障礙,http://www.star.org.tw,az0828@ms59.hinet.net,08-9359284,台東縣,劉詩嫈
財團法人天主教會花蓮教區附設花蓮縣私立聲遠老人養護之家,社區居住/照顧、住宿服務,社區居民、原住民、老人、兒童,,lostpontoon@gmail.com,03-8610075分機102,花蓮縣,黃佩瑩
財團法人天主教社會慈善福利基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、社區居住/照顧、志工培訓、管理、諮詢服務和轉介,其他、社區居民、組織專業,http://www.huayuan.org.tw,sh500327@gmail.com,07-5565749,高雄市,黃秀淑
財團法人天主教福利會,生活層面之支持與重建、心理層面之支持、重建、諮商、寄養、收出養服務,婦女、青少年、兒童,http://www.cs.org.tw,cathwelservice@cs.org.tw,02-26625184分機224,新北市,畢國蓮
財團法人天主教福利會附設台北市私立青友中心,專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、就業準備及訓練,原住民、家庭、青少年、兒童,http://cfyf.myweb.hinet.net/,cf.yf@msa.hinet.net,02-23652230,台北市,周謹明
財團法人天主教耶穌會台北新事社會服務中心,生活層面之支持與重建、教育輔導、就業服務、諮詢服務和轉介、社會網絡與倡導,勞工、原住民、家庭、青少年,http://www.seewa.org.tw,new.job@msa.hinet.net,02-23971933分機102,台北市,胡玉麗
財團法人天主教耶穌會新竹社會服務中心,日間照顧、專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、到宅服務,社區居民、家庭、老人、婦女、兒童、身心障礙,http://www.cssc.org.tw,fs@twcssc.org,03-5224153分機24,新竹市,黃雅屏
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立康達家園,生活層面之支持與重建、心理層面之支持、重建、諮商、照顧者支持與訓練,其他、組織專業、青少年,http://www2.livingstone.org.tw/page4.php,wellspringno1@yahoo.com.tw,07-5826457,高雄市,王儷芬
財團法人天主教聖母聖心修女會曉明老人福利服務館,日間照顧、安養服務、在宅服務、居家照顧、志願服務、專業訓練、宣導防治、關懷訪視,社區居民、老人,http://www.lkk.org.tw,stella.old@msa.hinet.net,04-22974225,台中市,黃秋鳳社工員
財團法人天主教聖母聖心會,專業訓練、心理層面之支持、重建、諮商、自殺防治/心理衛生、性別及婚姻輔導、社區居住/照顧,遊民、社區居民、組織專業、家庭、老人、婦女、青少年、兒童,http://www.catholic.org.tw/cicm/,sintreas@tpts5.seed.net.tw,-02-23114765,台北市,沈莉娟
財團法人天主教臺南市私立德蘭啟智中心,日間照顧、復康復健、到宅服務、社區居住/照顧、諮詢服務和轉介,其他、家庭、兒童、身心障礙,http://theresa.ho.net.tw,stheresasw@yahoo.com.tw,06-5742219分機51,台南市,楊美華
財團法人天主教臺南市私立蘆葦啟智中心,日間照顧、到宅服務、社區居住/照顧、就業服務,家庭、兒童、身心障礙,http://www.luwei.org.tw/,asdf02280411@hotmail.com,06-5890260分機321,台南市,林家正
財團法人天主教花蓮教區附設安德啟智中心,職業訓練、收容安置、在宅服務、居家照顧、志願服務、緊急庇護、資訊提供、宣導防治、關懷訪視、健康維護,,,Jes1820.@ms47.hinet.net,(03)8886218,花蓮縣,賴香妹
財團法人天主教遣使會附設宜蘭縣私立聖方濟安老院,日間照顧、到宅服務、住宿式照顧、社區居住/照顧,其他、社區居民、家庭、老人,http://www.catholic.org.tw/vincentains/francis,szuting67@hotmail.com,03-9771132,宜蘭縣,鄧思亭
財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型),日間照顧、到宅服務、住宿式照顧、諮詢服務、其他,社區居民、老人、身心障礙,http://mdb.myweb.hinet.net,mdb.ms33@msa.hinet.net,03-9512060,宜蘭縣,王淑茹
財團法人天主教靈醫會私立聖嘉民啟智中心,日間照顧、生活層面之支持與重建、心理層面之支持、重建、諮商、住宿式照顧,身心障礙,http://www.camillus.org.tw,st.center@msa.hinet.net,03--9899556,宜蘭縣,李承諺
財團法人天使心家族社會福利基金會,心理層面之支持、重建、諮商、志工培訓、管理、照顧者支持與訓練、諮詢服務和轉介、社會網絡與倡導,其他、社區居民,http://www.ah-h.org/,east@ah-h.org,02-27181165分機153,台北市,陳幸嬋
財團法人婦女新知基金會,性別及婚姻輔導、社會宣導、志工培訓、管理、其他,其他,http://www.awakening.org.tw,jfc@awakening.org.tw,02-25028715,台北市,秦季芳
財團法人宜蘭縣私立佛教幸夫社會福利慈善事業基金會附設幸夫愛兒園,收容安置,青少年、兒童,http://www.sfu.org.tw,sinfu@ms2.e-land.gov.tw,03-9515532,宜蘭縣,林鳳嬌
財團法人宜蘭縣私立天主教弘道仁愛之家,住宿式照顧,老人,http://hung.dao@msa.hinet.net,hung.dao@msa.hinet.net,03-9981059,宜蘭縣,宋秀妹
財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),日間照顧、生活層面之支持與重建、臨時托育服務-非身障者、臨時及短期照顧-身障者、住宿式照顧,遊民、老人、身心障礙,http://www.hong-ren.org.tw,eagle_hung@hong-ren.org.tw,03-9354176分機206,宜蘭縣,吳茂坤
財團法人宜蘭縣私立慕光盲人重建中心,生活層面之支持與重建、心理層面之支持、重建、諮商、到宅服務、就業服務、住宿服務,身心障礙,,mk1959@ymail.com,03-9581001,宜蘭縣,吳文德
財團法人宜蘭縣私立竹安身心障礙養護院,心理層面之支持、重建、諮商、性別及婚姻輔導、家屬或照顧者支持與訓練、復康復健,其他、藥酒毒癮者、受刑人、燒燙傷患者、疾病患者、遊民、勞工、社區居民、原住民、組織專業、家庭、老人、婦女、青少年、兒童、身心障礙,http://www.juan-ilan.org.tw/,ju.an@msa.hinet.net,03-9874663,宜蘭縣,吳芳淑
財團法人宜蘭縣私立竹林養護院,臨時及短期照顧-身障者、復康復健、住宿服務、照顧者支持與訓練、諮詢服務和轉介,遊民、老人,http://www.juan-ilan.org.tw,juli.nu@msa.hinet.net,03-9889357,宜蘭縣,鄭易函
財團法人宜蘭縣私立蘭陽仁愛之家,日間照顧、臨時托育服務-非身障者、志工培訓、管理、住宿服務,其他、社區居民、老人,http://dharma.fgs.org.tw/shrine/fgsastw8y/01/index.htm,irinas@ecp.fgs.org.tw,03-9283880分機101,宜蘭縣,吳惠美
財團法人宜蘭縣私立蘭馨婦幼中心,心理層面之支持、重建、諮商、性別及婚姻支持服務、諮詢服務和轉介、社會網絡與倡導、其他,其他、社區居民、家庭、婦女、兒童、身心障礙,http://www.roton.tw,lanshin.fm@gmail.com,03-9510518分機229,宜蘭縣,許秀慈
財團法人導航基金會,就業輔導、社會教育、推廣教育、社區發展、權益倡導、專業訓練、托育服務、親職教育、法律諮詢、關懷訪視、其他,,http://mypaper.pchome.com.tw/navigate_tw,chun777@gmail.com,02-28385650,台北市,周佳君
財團法人屏東基督教勝利之家,日間照顧、臨時及短期照顧-身障者、到宅服務、住宿式照顧、就業服務,身心障礙,http://www.vhome.org.tw,vhspon@gmail.com,08-7366294分機207,屏東縣,陳秀琴
財團法人屏東縣私立基督教伯大尼之家,日間照顧、教育輔導、住宿服務,身心障礙,http://www.bethany-pt.org/,bethany_pt@yahoo.com.tw,08-7367264分機141,屏東縣,王雅芳
財團法人屏東縣私立基督教沐恩之家,生活層面之支持與重建、疾病或藥酒毒癮服務、教育輔導、住宿式照顧、就業準備及訓練,其他、藥酒毒癮者、受刑人、社區居民、青少年,http://www.hg.org.tw/,hs12793@yahoo.com.tw,07-7230595,高雄市,陳沛琪
財團法人屏東縣私立椰子園老人養護之家,生活層面之支持與重建、休閒/體育及文化活動、社會網絡與倡導、其他,社區居民、家庭、老人、身心障礙,http://pyty.org.tw,t890101@yahoo.com.tw,08-7621111分機188,屏東縣,蔡秀蘭
財團法人崔媽媽基金會,專業訓練、社區營造/文化產業、其他,家庭,http://www.tmm.org.tw,nan551128@gmail.com,02-23658140分機213,台北市,曹筱筠
財團法人布農文教基金會,職業訓練、就業輔導、社會教育、推廣教育、在宅服務、居家照顧、社區發展、經濟扶助、權益倡導、志願服務、其他,,http://www.bunun.org.tw,bunun@bunun.org.tw,089-561211-301,台東縣,王計潘
財團法人平安社會福利慈善事業基金會,日間照顧、生活層面之支持與重建、休閒/體育及文化活動、其他,社區居民、家庭、青少年、兒童、身心障礙,http://dacc.org.tw/ap/index.aspx,dacc.org@msa.hinet.net,07-9620336分機16,高雄市,李宜真
財團法人幸福福利文教基金會,專業訓練、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、諮詢服務和轉介,家庭、婦女、青少年、兒童,http://www.lucky.org.tw/,lucky333@ms72.hinet.net,04-22010269,台中市,翁毓秀
財團法人廣青文教基金會,專業訓練、心理層面之支持、重建、諮商、休閒/體育及文化活動、志工培訓、管理、照顧者支持與訓練,社區居民、身心障礙,http://www.kuang-ching.org,nanashufa@gmail.com,02-25811954分機221,台北市,徐玉樺
財團法人弘道老人福利基金會,生活層面之支持與重建、住宿式照顧、社會宣導、志工培訓、管理、社會網絡與倡導,社區居民、老人,https://www.unitedway.org.tw/ahondao%40hondao.org.tw,chingju@hondao.org.tw,04-22060698分機22,台中市,薛靖茹
財團法人張老師基金會,專業訓練、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理,勞工、社區居民、組織專業、家庭、婦女、青少年、兒童,http://www.1980.org.tw,911208@cyc.tw,02-25025858分機460,台北市,何錦玉
財團法人彭婉如文教基會會台中縣辦公室,,,http://pwr.org.tw,Pwj0004214@yahoo.com.tw,04-22626909,台中市,魏明毅
財團法人彭婉如文教基會會台南辦公室,,,http://www.pwr.org.tw,Pengwan0621@yahoo.com.tw,06-3357908,台南市,黃鈴慧
財團法人彭婉如文教基金會台北縣辦公室,,,http://pwr.org.tw,pengwan0316@yahoo.com.tw,23622957,台北市,趙學萍
財團法人彰化縣私立基督教喜樂保育院,日間照顧、復康復健、到宅服務、輔助科技及無障礙環境協助、住宿服務,身心障礙,http://www.joyce929.com.tw,joyce929@ms11.hinet.net,04-8960271分機145,彰化縣,賴照如
財團法人彰化縣私立慈恩社會福利慈善事業基金會,日間照顧、生活層面之支持與重建、臨時及短期照顧-身障者、復康復健、職前準備及訓練,社區居民、家庭、身心障礙,http://www.caringfield.artcom.tw,ching8833263@yahoo.com.tw,04-8814897,彰化縣,黃惠昕
財團法人彰化縣私立慈生仁愛院,日間照顧、專業訓練、生活層面之支持與重建、教育輔導、住宿服務,其他、青少年、兒童、身心障礙,http://www.tzsh.artcom.tw,tz-sh@umail.hinet.net,04-7222735分機110,彰化市,林冠瑩
財團法人彰化縣私立青山社會福利慈善事業基金會,臨時及短期照顧-身障者、到宅服務、休閒/體育及文化活動、志工培訓、管理、照顧者支持與訓練,家庭、老人、婦女、身心障礙,http://www.chcs.artcom.tw,h8358882@yahoo.com.tw,04-8358882,彰化縣,張妙如
財團法人微龍教育基金會,心理層面之支持、重建、諮商、教育輔導、到宅服務、諮詢服務、社會宣導,社區居民、家庭、青少年、兒童、身心障礙,http://www.wdef.org.tw,wd2004@seed.net.tw,04-23014967,台中市,林家卉
財團法人心園文教基金會,社會教育、推廣教育、權益倡導、親職教育、康樂休閒、資訊提供、宣導防治、關懷訪視,組織專業、身心障礙,,louisa@ms19.url.com.tw,02-24271753,基隆市,李如意
財團法人心路社會福利基金會,日間照顧、社區居住/照顧、就業服務、其他,其他、勞工、家庭、身心障礙,http://www.syinlu.org.tw,alicea154@gm.syinlu.org.tw,02-25929778分機404,台北市,原慧心
財團法人心路社會福利基金會成人服務資源中心,,,http://www.syinlu.org.tw,source@syinlu.org.tw,02-22396217,台北市,林淑琴
財團法人心路社會福利基金會附設台北市私立心路社區家園,收容安置,身心障礙,,SYINU.HOME@MAS.HINET.NET,(02)29321015,台北市,黃如玉
財團法人心路社會福利基金會附設心路洗衣坊,,,http://www.syinlu.org.tw,syinluka@ms47.hinet.net,(02)8732-6590,台北市,張玲
財團法人忠義社會福利事業基金會,生活層面之支持與重建、教育輔導、住宿式照顧、寄養、收出養服務、志工培訓、管理,其他、青少年、兒童,http://www.cybaby.org.tw,tychou@cybaby.org.tw,02-29311659,台北市,周孜穎
財團法人恩典文教基金會附設高雄市私立曙光教養中心,收容安置、輔導諮商、自殺防治、專業訓練、宣導防治,青少年、兒童,,Grace@mail2000.com.tw,07-3652987,高雄市,張獻憶
財團法人恩典文教基金會附設高雄市私立曙光教養中心,生活層面之支持與重建、心理層面之支持、重建、諮商、保護管束與更生保護、住宿式照顧、休閒/體育及文化活動,青少年,,grace@mail2000.com.tw,07-3652987,高雄市,許雯卿
財團法人愚人之友社會福利慈善事業基金會,職業訓練、日間照顧、在宅服務、居家照顧、社區發展、輔具服務、安親課輔、問安服務,原住民、青少年、兒童、身心障礙,http://www.qif.org.tw,ewanchang0603@gmail.com,04-92917756,南投縣,張鈺婕
財團法人愛盲基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、就業服務、職前準備及訓練,身心障礙,http://www.cefb.org.tw,sophisca110@tfb.org.tw,02-23616663分機8909,台北市,劉怡君
財團法人感恩社會福利慈善基金會,日間照顧、住宿服務、諮詢服務和轉介、其他,社區居民、老人,http://www.tg.org.tw,wst1118@gmail.com,03-9510789分機121,宜蘭縣,葉昀雯
財團法人慈懷社會福利基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、就業服務、諮詢服務和轉介,家庭、青少年、兒童,http://www.tzhu.org,tzhuh@tzhu.org,03-9358304,宜蘭縣,胡碧雲
財團法人慈懷社會福利基金會慈懷園,收容安置、緊急庇護、關懷訪視,青少年、兒童,http://www.tzhu.org,a7702023@ms36.hinet.net,03-9358304,宜蘭縣,林嘉欣
財團法人慈興文教基金會,,,https://sites.google.com/site/tsyrshing85,neon4100@yahoo.com.tw,04-26358520,台中市,蘇鈴鈴
財團法人成長文教基金會,,,http://www.healthygrow.org/,iamdreamlin@gmail.com,02-2700065,台北市,林君英
財團法人新北市基督教晨曦會,保護管束與更生保護、疾病或藥酒毒癮服務、社會宣導、其他,其他、藥酒毒癮者,http://www.dawn.org.tw,dawn_hsu0149@yahoo.com.tw,02-22317744,新北市,徐傳昊
財團法人新北市私立明新兒童發展中心,日間照顧、復康復健、諮詢服務和轉介、社會網絡與倡導,其他、家庭、兒童、身心障礙,http://www.misin.org.tw,mi.sin@msa.hinet.net,02-22473769,新北市,湯乃孋
財團法人新北市私立樂山園社會福利慈善事業基金會,住宿服務,身心障礙,http://www.happymount.org.tw/,clwu@happymount.org.tw,02-26101643分機6124,新北市,吳長霖
財團法人新竹市天主教仁愛社會福利基金會,日間照顧、其他,身心障礙,http://www.charity.org.tw,monica70923@charity.org.tw,03-5784633分機5511,新竹市,項立心
財團法人新竹市私立天主教仁愛啟智中心,日間照顧、社區居住/照顧,其他、身心障礙,http://www.charity.org.tw,jeanlai@charity.org.tw,03-5711833分機314,新竹市,賴怡君
財團法人新竹市私立愛恆啟能中心,收容安置、日間照顧、專業訓練、緊急庇護,身心障礙,http://www.aiheng.org.tw,emilychen@aiheng.org.tw,03-5366555,新竹市,陳易敏
財團法人新竹常青啟智文教基金會,日間照顧、家屬或照顧者支持與訓練、休閒/體育及文化活動、就業準備及訓練、就業服務,身心障礙,http://evergreen.npo.itri.org.tw,evg.found@msa.hinet.net,03-5312890,新竹市,賴瑞月
財團法人日月之光慈善事業基金會,,,http://www.warmer.com.tw/defaultl.asp,ping50819@yahoo.com.tw,07-3649619,高雄市,蔡幸芬
財團法人普仁青年關懷基金會,社會教育、推廣教育、社區發展、經濟扶助、權益倡導、親職教育、康樂休閒、宣導防治、關懷訪視,家庭、青少年,http://www.you-care.org.tw,care.care@msa.hinet.net,02-23691886,台北市,蔡心媛
財團法人晴光文教基金會,社會教育、推廣教育、安親課輔、送餐服務、康樂休閒、資訊提供、關懷訪視,其他、遊民、家庭、老人、婦女、青少年、兒童,http://www.wretch.cc/blog/lksunnylight,sunnylight88@hotmail.com,04-7768135,彰化縣,洪瑩如
財團法人李勝賢文教基金會,社會教育、推廣教育、日間照顧、在宅服務、居家照顧、權益倡導、專業訓練、安親課輔、親職教育、康樂休閒、宣導防治,其他、社區居民、家庭、兒童、身心障礙,http://www.shanhsien.org.tw/,lee361899@yahoo.com.tw,08-9361899,台東縣,黃雅菁
財團法人林業生社會福利慈善事業基金會,教育輔導、其他,青少年、兒童,http://www.need-u-sun.org.tw/,miffyro@gmail.com,04-23723800,台中市,柳憶柔
財團法人桃園縣基督教聖經教會,心理層面之支持、重建、諮商、志工培訓、管理、諮詢服務和轉介,其他、社區居民、老人,http://www.oldman.org.tw,socialwork254@gmail.com,03-4532632分機254,桃園縣,林佩詩
財團法人桃園縣私立仁友愛心家園,職業訓練、就業輔導、收容安置、專業訓練、親職教育、康樂休閒、資訊提供、健康維護,身心障礙,http://www.holin.com.tw/love/,r307.y2035@msa.hinet.net,03-3072035,桃園縣,鍾伊玲、王靜玲
財團法人桃園縣私立國宏社會福利慈善事業基金會,,,,a0450@pagic.net,03-4582977,桃園縣,李佩玲
財團法人桃園縣私立天主教奇恩智能發展中心,職業訓練、收容安置、日間照顧、社區發展、其他,,,Hu389888@ms39.hinet.net,03-3900361,桃園縣,胡淑春
財團法人桃園縣私立寶貝潛能發展中心,日間照顧、臨時及短期照顧-身障者、到宅服務,身心障礙,http://www.baby-center.org.tw/,baby.center@msa.hinet.net,03-3328338分機11,桃園縣,陳秀霞
財團法人桃園縣私立心燈啟智教養院,職業訓練、就業輔導、醫療協助、收容安置、在宅服務、居家照顧、緊急庇護,身心障礙,,h4205558@yahoo.com.tw,03-4205558,桃園縣,李榮崇
財團法人桃園縣私立真善美啟能發展中心,就業輔導、收容安置、權益倡導、志願服務、親職教育、康樂休閒、資訊提供、健康維護,身心障礙,http://www.chensenmei.org.tw,v4561231@ms31.hinet.net,03-4561455分機207,桃園縣,陳碧霞
財團法人桃園縣私立脊髓損傷潛能發展中心,專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、社區居住/照顧、住宿服務,身心障礙,http://www.scsrc.org.tw,lay@scsrc.org.tw,03-4909001分機224,桃園縣,黃美汝
財團法人桃園縣私立路得啟智學園,日間照顧、就業服務、職前準備及訓練、住宿服務、照顧者支持與訓練,身心障礙,http://www.ruth.org.tw/,ruth1995@ms24.hinet.net,03-3675901,,黃慶陽
財團法人桃園縣美好社會福利基金會,日間照顧、就業服務、住宿服務、其他,社區居民、組織專業、身心障礙,http://www.merryhouse.org.tw/,susan1201@merryhouse.org.tw,03-3709294,桃園縣,石幸雄
財團法人民間司法改革基金會,社會教育、推廣教育、權益倡導、專業訓練、宣導防治、其他,其他、藥酒毒癮者、受刑人、燒燙傷患者、疾病患者、遊民、勞工、社區居民、原住民、組織專業、家庭、婦女、青少年、兒童、身心障礙,https://www.unitedway.org.tw/www.lre.org.tw%20%E6%88%96www.jrf.org.tw,twjrf@seed.net.net,02-25231178,苗栗縣,高涌誠
財團法人水源地文教基金會,生活層面之支持與重建、社區營造/文化產業、志工培訓、管理、諮詢服務和轉介、社會網絡與倡導,社區居民、原住民、老人、青少年,http://www.youngwater.org.tw,watersource@mail2000.com.tw,04-22277826,台中市,陳怡君
財團法人法律扶助基金會,其他,其他、受刑人、勞工、原住民、老人、婦女、青少年、身心障礙,http://www.laf.org.tw,serina_yang@laf.org.tw,-,,高蕙如
財團法人淨化社會文教基金會,生活層面之支持與重建、保護管束與更生保護、疾病或藥酒毒癮服務、就業服務、志工培訓、管理,受刑人、社區居民、家庭、青少年、兒童,http://www.jinghua.org.tw/,iambigfeet@gmail.com,02-82611993分機104,新北市,黃美瑜
財團法人濟興長青基金會,到宅服務、志工培訓、管理、照顧者支持與訓練,社區居民、老人、身心障礙,http://jising.org.tw,gs.s1688@msa.hinet.net,07-5518235,高雄市,許碧紋
財團法人現代婦女教育基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、性別及婚姻輔導、社會宣導,家庭、婦女,http://www.38.org.tw,vick5410@38.org.tw,02-23917133,台北市,陳怡伶
財團法人瑪利亞社會福利基金會,日間照顧、臨時及短期照顧-身障者、復康復健、輔助科技及無障礙環境協助、就業服務,婦女、身心障礙,http://www.maria.org.tw,m1142@mail.maria.org.tw,04-24713535分機2007,台中市,簡嘉慧
財團法人環宇國際文化教育基金會,,,http://www.icef.org.tw/,momoing2466@gmail.com,02-23699907,台北市,廖庭可
財團法人生命之愛文教基金會,生活層面之支持與重建、教育輔導、就業服務、志工培訓、管理、職前準備及訓練,家庭、婦女、青少年、兒童,http://www.mllove.org.tw/,cm701216@gmail.com,03-7336823分機26,苗栗縣,王念國
財團法人癌症希望基金會,,,http://www.ecancer.org.tw,jenny@ecancer.org.tw,02-33226286分機133,台北市,吳智&#23190;
財團法人白茂榮社區教育基金會,志願服務、專業訓練、其他,組織專業、青少年、兒童,,baicef@ms67@hinet.net,02-23560018,台北市,支仲英
財團法人社會發展文教基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、社區營造/文化產業、性別及婚姻支持服務,其他、勞工、組織專業、婦女,http://www.4way.tw/,luofeei@gmail.com,02-89113230分機290,新北市,黃洛斐
財團法人福榮融合教育推廣基金會,教育輔導、職前準備及訓練、其他,家庭、兒童、身心障礙,https://www.unitedway.org.tw/smw%40mail.nhcue.edu.tw,smw@mail.nhcue.edu.tw,03-5753133,新竹市,羅嘉妘
財團法人私立台東基督教阿尼色弗兒童之家,,,http://www.kidsalive.org.tw/,ho.ansf@msa.hinet.net,08-9223194,台東縣,林純如
財團法人私立天主教中華聖母社會福利慈善事業基金會,,,http://www.stm.org.tw/solc/index.htm,swffws@stm.org.tw,05-2780040分機3310,嘉義市,李季芃
財團法人私立天主教華光智能發展中心,社區居住/照顧、休閒/體育及文化活動、就業服務、住宿服務、諮詢服務和轉介,身心障礙,http://www.huakuang.org.tw/,amin@huakuang.org.tw,03-5874690分機683,新竹縣,洪敏惠
財團法人第一社會福利基金會,日間照顧、專業訓練、復康復健、就業服務、住宿服務,身心障礙,http://www.diyi.org.tw,zoe0524@diyi.org.tw,02-27224136分機803,台北市,陳淑芬
財團法人罕見疾病基金會,生活層面之支持與重建、心理層面之支持、重建、諮商、到宅服務、志工培訓、管理、諮詢服務和轉介,身心障礙,http://www.tfrd.org.tw,ps10@tfrd.org.tw,02-25210717分機169,台北市,李淑玫
